Certification,FournisseurPlant,NbAltisePlan,NbChenilleObserve,Grosseur,EmplacementChenille,NbPlantsCecidomyie,StadeDommages,Maladie,NbPlantsMaladie,EmplacementMaladie,QuantiteMaladie,MaladieSecondaire,PresenceMaladieSecondaire,MaladieEmplacementSecondaire,QuantiteMaladieSecondaire,StadeAlternaria,CouleurPlant,Carence,AnneeProduction,QteSemencesMillegrains,PopulationViseeParHa,QtePlantsRequis,TypePlateaux,SurplusPourcent,NbrePlateauxTotal,SuperficieTotaleHa,SuperficieCultiveeHa,RendementLbParHa,NbPlantsObserves,StadeCulture,NbPlantsVersGris,PoidsNet,Rejet_AutresDefauts,RejetDeclassement,Rejet_Dimensions,Rejet_Matiere_Etrangere,FertilizerAmount,IrrigationArea,IrrigationDuration,PesticideAmount,duree_visee,duree_obtenue
1,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,176,43055.64168,152693,288,0.06,573,4.03,3.55,29762.37,25,14,0,95566,0.17,0,1.31,0.18,2946.9375,0,0,20.5973,63,65
1,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,172,43055.64168,152693,288,0.06,562,4.03,3.55,29762.37,25,14,0,122640,0.15,0,0.53,0.25,2946.9375,0,0,25.937,66,72
1,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,172,43055.64168,152693,288,0.06,562,4.03,3.55,29762.37,25,14,0,164279,0.31,0,1.12,0.09,2930.8175,0,0,51.3583,61,74
1,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,172,43055.64168,152693,288,0.06,562,4.03,3.55,29762.37,25,14,0,113767,0.48,0,1.36,0.13,2064.3675,0,0,45.7325,65,84
1,0,0,3,1,0,0,2,1,2,0,2,3,2,0,2,3,3,0,2019,116,28703.76112,96743,231,0.06,470,3.83,3.37,55115.5,25,12,0,86392,0.19,0.21,0.48,0,2601.5275,0,0,31.6204,90,110
1,0,0,3,1,0,0,2,1,2,0,2,3,2,0,2,3,3,0,2019,116,28703.76112,96743,231,0.06,470,3.83,3.37,55115.5,25,12,0,164284,0.07,0.14,0.89,0,2600.57,0,0,39.2804,91,93
1,0,0,3,1,0,0,2,1,2,0,2,3,2,0,2,3,3,0,2019,116,28703.76112,96743,231,0.06,470,3.83,3.37,55115.5,25,12,0,103231,0.15,0.36,0.57,0,2638.87,0,0,24.895,94,89
1,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,187,44927.6261,162297,288,0.06,609,4.11,3.61,29762.37,25,14,0,96171,0.03,0,1.52,0.2,0,0,0,14.7809,65,66
1,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,187,44927.6261,162297,288,0.06,609,4.11,3.61,29762.37,25,14,0,129035,0.1,0,1.2,0.12,0,0,0,18.5279,62,64
1,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,183,44927.6261,162297,288,0.06,598,4.11,3.61,29762.37,25,14,0,142948,0.11,0,0.63,0.22,0,0,0,19.8966,65,75
1,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,183,44927.6261,162297,288,0.06,598,4.11,3.61,29762.37,25,14,0,122625,0.21,0,0.27,0.1,0,0,0,14.418,64,76
1,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,183,44927.6261,162297,288,0.06,598,4.11,3.61,29762.37,25,14,0,108492,0.37,0,0.17,0.12,0,0,0,17.636,64,77
1,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,183,44927.6261,162297,288,0.06,598,4.11,3.61,29762.37,25,14,0,94209,0.39,0,0.19,0.09,0,0,0,20.402,82,89
1,0,0,3,1,0,0,2,1,2,0,2,3,2,0,2,3,3,0,2019,153,28703.76112,127863,200,0.1,717,5.06,4.45,55115.5,25,12,0,42726,0.09,0.73,0.45,0,0,0,0,50.2206,90,97
1,0,0,3,1,0,0,2,1,2,0,2,3,2,0,2,3,3,0,2019,153,28703.76112,127863,200,0.1,717,5.06,4.45,55115.5,25,12,0,90484,0.15,0.21,0.43,0,0,0,0,50.2206,89,102
1,0,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,176,43055.64168,152693,288,0.1,573,4.03,3.55,29762.37,25,14,0,93030,0.27,0,0.8,0.18,2946.9375,0,0,20.5973,63,64
